,ibns_20u,ibns_20u_9n,vgs_m1,ibn_settl_err,name,type,time,OK
0,20.42999,16.96427,0.6180163,3465.7199999999975,tran_LayGtAmcttTtVt_29,Lay,Sun Feb  5 20:10:50 2023,False
1,24.859849999999998,20.12274,0.6265929,4737.11,tran_LayGtAmcttTtVt_28,Lay,Sun Feb  5 20:10:50 2023,False
2,19.19086,16.1299,0.612884,3060.9600000000005,tran_LayGtAmcttTtVt_27,Lay,Sun Feb  5 20:10:50 2023,False
3,20.439729999999997,16.836869999999998,0.6199082,3602.8599999999997,tran_LayGtAmcttTtVt_26,Lay,Sun Feb  5 20:10:50 2023,False
4,20.12052,16.776169999999997,0.6183443,3344.3500000000013,tran_LayGtAmcttTtVt_25,Lay,Sun Feb  5 20:10:50 2023,False
5,22.62277,18.73339,0.6183104,3889.3800000000024,tran_LayGtAmcttTtVt_24,Lay,Sun Feb  5 20:10:50 2023,False
6,23.73885,19.45593,0.6234464,4282.920000000001,tran_LayGtAmcttTtVt_23,Lay,Sun Feb  5 20:10:50 2023,False
7,23.34187,19.04941,0.6242791,4292.459999999997,tran_LayGtAmcttTtVt_22,Lay,Sun Feb  5 20:10:50 2023,False
8,22.896379999999997,18.83274,0.6210805,4063.639999999999,tran_LayGtAmcttTtVt_21,Lay,Sun Feb  5 20:10:50 2023,False
9,22.388469999999998,18.46282,0.6221402,3925.6499999999987,tran_LayGtAmcttTtVt_20,Lay,Sun Feb  5 20:10:50 2023,False
10,18.630560000000003,15.65772,0.6134448,2972.8400000000024,tran_LayGtAmcttTtVt_19,Lay,Sun Feb  5 20:10:50 2023,False
11,18.793670000000002,15.740870000000001,0.6161908,3052.799999999999,tran_LayGtAmcttTtVt_18,Lay,Sun Feb  5 20:10:50 2023,False
12,23.15955,18.90275,0.62329,4256.799999999999,tran_LayGtAmcttTtVt_17,Lay,Sun Feb  5 20:10:50 2023,False
13,22.813360000000003,18.670289999999998,0.6235654,4143.070000000002,tran_LayGtAmcttTtVt_16,Lay,Sun Feb  5 20:10:50 2023,False
14,18.739810000000002,15.672389999999998,0.6159146,3067.420000000002,tran_LayGtAmcttTtVt_15,Lay,Sun Feb  5 20:10:50 2023,False
15,22.6747,18.511020000000002,0.6236603,4163.680000000001,tran_LayGtAmcttTtVt_14,Lay,Sun Feb  5 20:10:50 2023,False
16,22.37588,18.56192,0.6191223,3813.959999999998,tran_LayGtAmcttTtVt_13,Lay,Sun Feb  5 20:10:50 2023,False
17,20.466440000000002,16.94138,0.6199205,3525.0600000000018,tran_LayGtAmcttTtVt_12,Lay,Sun Feb  5 20:10:50 2023,False
18,20.59294,17.21695,0.6179823,3375.989999999999,tran_LayGtAmcttTtVt_11,Lay,Sun Feb  5 20:10:50 2023,False
19,17.07071,14.489840000000001,0.6105828,2580.869999999999,tran_LayGtAmcttTtVt_10,Lay,Sun Feb  5 20:10:50 2023,False
20,22.640559999999997,18.686310000000002,0.6208082,3954.249999999997,tran_LayGtAmcttTtVt_9,Lay,Sun Feb  5 20:10:50 2023,False
21,21.940830000000002,18.17835,0.619706,3762.480000000002,tran_LayGtAmcttTtVt_8,Lay,Sun Feb  5 20:10:50 2023,False
22,20.65067,17.308680000000003,0.6153065,3341.989999999999,tran_LayGtAmcttTtVt_7,Lay,Sun Feb  5 20:10:50 2023,False
23,21.38606,17.66144,0.6193876,3724.6199999999994,tran_LayGtAmcttTtVt_6,Lay,Sun Feb  5 20:10:50 2023,False
24,22.83887,18.775969999999997,0.6221345,4062.9000000000015,tran_LayGtAmcttTtVt_5,Lay,Sun Feb  5 20:10:50 2023,False
25,18.48906,15.57047,0.6140856,2918.589999999999,tran_LayGtAmcttTtVt_4,Lay,Sun Feb  5 20:10:50 2023,False
26,23.52803,18.95348,0.6263035,4574.550000000002,tran_LayGtAmcttTtVt_3,Lay,Sun Feb  5 20:10:50 2023,False
27,20.9076,17.225270000000002,0.6206533,3682.329999999999,tran_LayGtAmcttTtVt_2,Lay,Sun Feb  5 20:10:50 2023,False
28,21.80251,17.7808,0.6233221,4021.71,tran_LayGtAmcttTtVt_1,Lay,Sun Feb  5 20:10:50 2023,False
29,19.89278,16.47486,0.6174091,3417.919999999998,tran_LayGtAmcttTtVt,Lay,Sun Feb  5 20:10:50 2023,False
